urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@ὑπόστεγον	34	Ὀδυσσεύς	ὑπόστεγον	verb	ὑποστέγω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@;	34	Ὀδυσσεύς	;	subordinating_conjunction	;
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:37@κείνου	37	Ὀδυσσεύς	κείνου	adjective	ἐκεῖνος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:37@τὸ	37	Ὀδυσσεύς	τὸ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:37@θησαύρισμα	37	Ὀδυσσεύς	θησαύρισμα	noun	θησαύρισμα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:37@σημαίνεις	37	Ὀδυσσεύς	σημαίνεις	verb	σημαίνω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:37@τόδε.	37	Ὀδυσσεύς	τόδε.	adjective	ὅδε
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40@ἁνὴρ	40	Ὀδυσσεύς	ἁνὴρ	adjective	ἁνός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40@κατοικεῖ	40	Ὀδυσσεύς	κατοικεῖ	verb	κατοικέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40@τούσδε	40	Ὀδυσσεύς	τούσδε	determiner	ὅδε
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40@τοὺς	40	Ὀδυσσεύς	τοὺς	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40@τόπους	40	Ὀδυσσεύς	τόπους	noun	τόπος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40@σαφῶς	40	Ὀδυσσεύς	σαφῶς	adverb	σαφῶς
